İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Boya-değişen,Tramer,Maksimum Hız,Price
03 Kasım 2023,Toyota,Corolla,1.5 Dream,2022,15.500 km,Otomatik,LPG & Benzin,Sedan. 5 Koltuk,Beyaz,1490 cc,125 hp,5.8 lt,Belirtilmemiş,Tramer tutarı yok,190 km/s,1.125.000 TL                                                                                       1.100.000 TL
25 Ekim 2023,Fiat,Egea,1.4 Fire Easy,2022,15.500 km,Düz,Benzin,Sedan,Füme,1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,186 km/s,688.000 TL
23 Ekim 2023,Hyundai,i20,1.4 MPI Style Plus,2022,15.500 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,6.1 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,176 km/s,938.000 TL
21 Ekim 2023,Renault,Megane,1.3 TCe Joy,2020,15.500 km,Düz,Benzin,Sedan. 5 Koltuk,Beyaz,1332 cc,140 hp,5.5 lt,Belirtilmemiş,Tramer tutarı yok,205 km/s,880.000 TL
19 Ekim 2023,Opel,Corsa,1.2 Elegance,2022,15.500 km,Düz,Benzin,Hatchback/5,Kırmızı,1199 cc,75 hp,4.1 lt,Tamamı orjinal,Tramer tutarı yok,174 km/s,835.000 TL
15 Ekim 2023,Kia,Rio,1.2 MPI Cool,2020,15.500 km,Düz,Benzin,Hatchback/5,Siyah,1197 cc,84 hp,,Tamamı orjinal,Tramer tutarı yok,,710.000 TL
12 Ekim 2023,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,15.500 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,3.9 lt,Tamamı orjinal,Tramer tutarı yok,189 km/s,780.000 TL
06 Ekim 2023,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,15.502 km,Yarı Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,6.3 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,1.275.000 TL
07 Kasım 2023,Citroen,C4,1.2 PureTech Feel Bold,2022,15.600 km,Otomatik,Benzin,SUV,Gri (Gümüş),1199 cc,132 hp,5 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,200 km/s,1.120.000 TL
24 Ekim 2023,Volkswagen,Polo,1.0 TSi Comfortline,2021,15.700 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,95 hp,4.6 lt,Tamamı orjinal,Tramer tutarı yok,187 km/s,925.000 TL
22 Ekim 2023,Citroen,C4,1.2 PureTech Feel Bold,2021,15.700 km,Düz,Benzin,Sedan,Gri (metalik),1200 cm3' e kadar,76/100 HP,,Tamamı orjinal,Tramer tutarı yok,,960.000 TL
11 Ekim 2023,Opel,Astra,1.4 T Edition Plus,2020,15.750 km,Düz,Benzin,Sedan,Beyaz,1364 cc,140 hp,6.2 lt,Tamamı orjinal,Tramer tutarı yok,207 km/s,1.199.000 TL
28 Kasım 2023,Audi,A3,A3 Sedan 30 TFSI Advanced,2021,15.800 km,Otomatik,Hibrit,Sedan,Gri,1200 cm3' e kadar,101/125 HP,,Tamamı orjinal,Tramer tutarı yok,,1.675.000 TL
18 Kasım 2023,Opel,Corsa,1.2 Turbo Edition,2022,15.800 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Gri (metalik),1199 cc,100 hp,4.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,192 km/s,845.000 TL
09 Kasım 2023,Renault,Megane,1.5 Blue DCI Joy,2022,15.800 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,115 hp,4.1 lt,Tamamı orjinal,Tramer tutarı yok,190 km/s,1.100.000 TL
17 Ekim 2023,Fiat,Egea,1.4 Fire Easy,2022,15.800 km,Düz,Benzin,Sedan,Mavi (metalik),1368 cc,95 hp,6.4 lt,Belirtilmemiş,Tramer tutarı yok,186 km/s,670.000 TL
17 Ekim 2023,Peugeot,308,1.2 PureTech Style Tech,2021,15.800 km,Otomatik,Benzin,Hatchback/5,Füme,1199 cc,132 hp,4.2 lt,Tamamı orjinal,Tramer tutarı yok,204 km/s,1.000.000 TL
18 Ekim 2023,Hyundai,Elantra,1.6 MPI Smart,2021,15.850 km,Otomatik,Benzin,Sedan,Kırmızı,1598 cc,123 hp,6.2 lt,Tamamı orjinal,Tramer tutarı yok,195 km/s,1.390.000 TL
14 Ekim 2023,Hyundai,Elantra,1.6 MPI Style Plus,2020,15.950 km,Otomatik,Benzin,Sedan,Beyaz,1591 cc,127 hp,6.8 lt,Tamamı orjinal,Tramer tutarı yok,195 km/s,1.119.500 TL
28 Kasım 2023,Fiat,Egea,1.4 Fire Easy,2023,16.000 km,Düz,Benzin,Sedan,Mavi,1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,186 km/s,705.000 TL
28 Kasım 2023,BMW,1 Serisi,116i Sport Edition,2021,16.000 km,Otomatik,Benzin,Hatchback/5,Siyah,1601/1800 cm3,101/125 HP,,Belirtilmemiş,Tramer tutarı yok,,1.425.000 TL
23 Kasım 2023,Renault,Clio,1.0 TCe Touch,2023,16.000 km,Otomatik,Benzin,Hatchback/5,Lacivert,999 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,960.000 TL
22 Kasım 2023,Peugeot,508,1.5 BlueHDI Allure,2022,16.000 km,Otomatik,Dizel,Sedan. 5 Koltuk,Füme,1499 cc,130 hp,3.8 lt,Tamamı orjinal,Tramer tutarı yok,208 km/s,1.650.000 TL
21 Kasım 2023,Fiat,Egea,1.4 Fire Easy,2023,16.000 km,Düz,LPG & Benzin,Sedan,Füme,,,,Tamamı orjinal,Tramer tutarı yok,,728.500 TL
21 Kasım 2023,Mercedes - Benz,CLA,200 AMG,2019,16.000 km,Otomatik,Benzin,Coupe,Beyaz,1595 cc,156 hp,5.5 lt,Tamamı orjinal,Tramer tutarı yok,230 km/s,1.860.000 TL
11 Kasım 2023,Volkswagen,Polo,1.0 TSi Life,2022,16.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,,,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,,1.160.000 TL
11 Kasım 2023,Citroen,C4,1.2 PureTech Feel Bold,2022,16.000 km,Otomatik,Benzin,Hatchback/5,Gri,1199 cc,132 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,200 km/s,1.115.000 TL
10 Kasım 2023,Toyota,Corolla,1.6 Vision,2020,16.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Gri (metalik),1598 cc,132 hp,5.5 lt,Belirtilmemiş,Tramer tutarı yok,190 km/s,1.010.000 TL
06 Kasım 2023,Renault,Megane,1.3 TCe Touch,2023,16.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,5.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,205 km/s,1.130.000 TL
30 Ekim 2023,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,16.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Füme,1597 cc,125 hp,6.3 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,1.162.500 TL
29 Ekim 2023,Tofaş,Doğan,SLX,1993,16.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,,4 değişen. 9 boyalı,Tramer tutarı Belirtilmemiş,170 km/s,200.000 TL
27 Ekim 2023,Nissan,Micra,1.2 Match,2018,16.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1198 cc,80 hp,5.4 lt,1 değişen,Tramer tutarı yok,161 km/s,694.000 TL
25 Ekim 2023,Citroen,C3,1.2 PureTech Feel,2022,16.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Beyaz,1199 cc,83 hp,4.2 lt,Tamamı orjinal,Tramer tutarı yok,169 km/s,698.000 TL
20 Ekim 2023,BMW,3 Serisi,320i Edition M Sport,2022,16.000 km,Otomatik,Benzin,Sedan,Beyaz,1597 cc,170 hp,7.3 lt,Tamamı orjinal,Tramer tutarı yok,228 km/s,2.960.000 TL
16 Ekim 2023,Fiat,Egea,1.4 Fire Urban,2022,16.000 km,Düz,Benzin,Sedan,,1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,186 km/s,750.000 TL
14 Ekim 2023,Ford,Focus,1.5 Ti-VCT Trend X,2020,16.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Beyaz,1497 cc,123 hp,5.8 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,950.000 TL
07 Ekim 2023,Fiat,Egea,1.4 Fire Street,2022,16.000 km,Düz,Benzin,Hatchback/5,,,,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,,680.000 TL
06 Ekim 2023,BMW,3 Serisi,320i Edition M Sport,2022,16.000 km,Otomatik,Benzin,Sedan,Siyah,1597 cc,170 hp,7.3 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,228 km/s,3.050.000 TL
06 Ekim 2023,Renault,Megane,1.3 TCe Joy Comfort,2022,16.000 km,Düz,Benzin,Sedan,Gri,1332 cc,140 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,205 km/s,980.000 TL
16 Kasım 2023,Fiat,Egea,1.4 Fire Easy Plus,2021,16.233 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,5.7 lt,2 değişen. 2 boyalı,Tramer  11.000 TL,185 km/s,680.000 TL
26 Ekim 2023,Hyundai,i20,1.2 MPI Style,2019,16.348 km,Düz,Benzin,Hatchback/5,Beyaz,1248 cc,84 hp,5.1 lt,Tamamı orjinal,Tramer tutarı yok,170 km/s,800.000 TL
30 Ekim 2023,Ford,Fiesta,1.25 Trend X,2016,16.350 km,Düz,Benzin,Hatchback/5,Beyaz,1242 cc,82 hp,5.2 lt,Belirtilmemiş,Tramer tutarı yok,168 km/s,705.000 TL
25 Ekim 2023,Toyota,Corolla,1.5 Flame X-Pack,2022,16.377 km,Otomatik,LPG & Benzin,Sedan. 5 Koltuk,Beyaz,1490 cc,125 hp,5.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,190 km/s,1.230.000 TL
11 Ekim 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,16.379 km,Düz,Benzin,Sedan,Bej,1368 cc,95 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,185 km/s,695.000 TL
20 Kasım 2023,Nissan,Micra,1.0 IG-T Tekna,2022,16.500 km,Otomatik,Benzin,Hatchback/5,,999 cc,92 hp,4.6 lt,Tamamı orjinal,Tramer tutarı yok,171 km/s,920.000 TL
17 Kasım 2023,Renault,Symbol,0.9 TCe Joy,2020,16.500 km,Düz,Benzin,Sedan,Beyaz,898 cc,90 hp,5.1 lt,Belirtilmemiş,Tramer  4.000 TL,178 km/s,599.000 TL                                                                                       589.000 TL
08 Kasım 2023,Kia,Rio,1.4L MPI Elegance,2022,16.500 km,Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1201/1400 cm3,,,Tamamı orjinal,Tramer tutarı yok,,900.000 TL
21 Ekim 2023,Seat,Ibiza,1.0 EcoTSI Style,2021,16.500 km,Yarı Otomatik,Benzin,Hatchback/5. 5 Koltuk,Füme,999 cc,110 hp,4.7 lt,Tamamı orjinal,Tramer tutarı yok,195 km/s,850.000 TL
12 Ekim 2023,Ford,Focus,1.5 TDCi Trend X,2020,16.500 km,Otomatik,Dizel,Station wagon. 5 Koltuk,Beyaz,1500 cc,120 hp,4.3 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,1.040.000 TL
09 Ekim 2023,Peugeot,208,1.2 PureTech Allure Selection,2021,16.500 km,Otomatik,Benzin,Hatchback/5,Füme,1199 cc,132 hp,4.5 lt,Tamamı orjinal,Tramer tutarı yok,208 km/s,985.000 TL
08 Ekim 2023,Fiat,Egea,1.3 Multijet Urban Plus,2020,16.500 km,Düz,Dizel,Sedan,,1248 cc,95 hp,4.1 lt,1 boyalı,Tramer tutarı yok,183 km/s,809.000 TL
22 Kasım 2023,Opel,Astra,1.5 D Edition,2021,16.600 km,Otomatik,Dizel,Hatchback/5,Beyaz,1496 cc,122 hp,4.6 lt,Tamamı orjinal,Tramer tutarı yok,205 km/s,1.060.000 TL
19 Ekim 2023,Opel,Astra,1.4 T Edition Plus,2020,16.600 km,Otomatik,Benzin,Sedan,Beyaz,1364 cc,140 hp,6.7 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,205 km/s,980.000 TL
08 Kasım 2023,Renault,Megane,1.3 TCe Icon,2020,16.697 km,Yarı Otomatik,Benzin,Sedan. 5 Koltuk,Gri (titanyum),1332 cc,140 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,205 km/s,1.190.000 TL
23 Kasım 2023,Hyundai,i20,1.4 MPI Style Plus,2021,16.700 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,6.1 lt,Tamamı orjinal,Tramer tutarı yok,176 km/s,890.000 TL                                                                                       870.000 TL
08 Kasım 2023,Fiat,Egea,1.4 Fire Easy Stil,2020,16.750 km,Düz,Benzin,Hatchback/5,Kırmızı,1201/1400 cm3,51/75 HP,,Tamamı orjinal,Tramer tutarı yok,,755.000 TL
19 Kasım 2023,Renault,R 12,TS,1976,16.845 km,Düz,LPG & Benzin,Sedan,Beyaz,1300 cc,54 hp,,Tamamı boyalı,Tramer tutarı yok,,190.000 TL
25 Kasım 2023,Renault,Clio,0.9 TCe Sport Tourer Joy,2019,16.900 km,Düz,Benzin,Hatchback/5,Beyaz,898 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,660.000 TL
07 Kasım 2023,Hyundai,i20,1.4 MPI Elite,2020,16.930 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Kırmızı,1368 cc,100 hp,6.1 lt,Belirtilmemiş,Tramer tutarı yok,176 km/s,870.000 TL
01 Kasım 2023,Ford,Focus,1.5 Ti-VCT Trend X,2020,16.950 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Gri (metalik),1497 cc,123 hp,5.8 lt,Belirtilmemiş,Tramer tutarı yok,196 km/s,949.000 TL
17 Ekim 2023,Renault,Clio,1.0 SCe Joy,2022,16.950 km,Düz,Benzin,Hatchback/5,Beyaz,999 cc,65 hp,4.9 lt,Tamamı orjinal,Tramer tutarı yok,160 km/s,760.000 TL
11 Ekim 2023,Ford,Focus,1.5 Ti-VCT Trend X,2020,16.950 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Gri (metalik),1497 cc,123 hp,5.8 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,949.000 TL
28 Kasım 2023,Renault,Clio,1.0 SCe Joy,2023,17.000 km,Düz,Benzin,Hatchback/5,Mavi (metalik),999 cc,65 hp,4.9 lt,Belirtilmemiş,Tramer  4.000 TL,160 km/s,715.000 TL
27 Kasım 2023,Citroen,C3,1.2 PureTech Feel,2021,17.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Beyaz,1199 cc,83 hp,4.2 lt,3 değişen,Tramer  15.700 TL,169 km/s,600.000 TL
26 Kasım 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,17.000 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,5.7 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,185 km/s,720.000 TL
24 Kasım 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,17.000 km,Düz,Benzin,Sedan,Kırmızı,1368 cc,95 hp,5.7 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,185 km/s,680.000 TL
24 Kasım 2023,Seat,Leon,1.5 EcoTSI FR,2021,17.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,,,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,,1.320.000 TL                                                                                       1.270.000 TL
20 Kasım 2023,Fiat,Egea,1.4 Fire Easy Plus,2022,17.000 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,186 km/s,705.000 TL
20 Kasım 2023,Honda,Civic,1.5 i-VTEC Eco Executive Plus,2023,17.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1498 cc,129 hp,6.5 lt,Belirtilmemiş,Tramer tutarı yok,200 km/s,1.440.000 TL
17 Kasım 2023,Toyota,Corolla,1.5 Dream,2022,17.000 km,Otomatik,Benzin,Sedan. 5 Koltuk,Beyaz,1490 cc,125 hp,5.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,190 km/s,1.010.000 TL
16 Kasım 2023,Tofaş,Doğan,SL,1993,17.000 km,Düz,LPG & Benzin,Sedan,Turkuaz,1581 cc,83 hp,6.5 lt,11 boyalı,Tramer tutarı Belirtilmemiş,170 km/s,198.000 TL
16 Kasım 2023,Renault,Megane,1.3 TCe Joy,2022,17.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,5.3 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,205 km/s,1.010.000 TL
15 Kasım 2023,Toyota,Corolla,1.8 Hybrid Flame,2021,17.000 km,Otomatik,Hibrit,Sedan,Mavi (metalik),1798 cc,98 hp,3.5 lt,Tamamı orjinal,Tramer tutarı yok,180 km/s,1.150.000 TL
13 Kasım 2023,Toyota,Corolla,1.5 Flame X-Pack,2022,17.000 km,Otomatik,Benzin,Sedan. 5 Koltuk,Beyaz,1490 cc,125 hp,5.8 lt,Tamamı orjinal,Tramer tutarı yok,190 km/s,1.250.000 TL
06 Kasım 2023,Fiat,Egea,1.4 Fire Easy,2022,17.000 km,Düz,Benzin,Sedan,Mavi,1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,186 km/s,680.000 TL
03 Kasım 2023,Renault,Megane,1.3 TCe Joy,2020,17.000 km,Düz,Benzin,Sedan. 5 Koltuk,Beyaz,1332 cc,140 hp,5.5 lt,Belirtilmemiş,Tramer tutarı yok,205 km/s,915.000 TL
01 Kasım 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,17.000 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,5.7 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,185 km/s,735.000 TL
01 Kasım 2023,Renault,Clio,1.2 Joy,2015,17.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Kırmızı,1149 cc,75 hp,5.5 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,164 km/s,619.000 TL
28 Ekim 2023,Hyundai,i20,1.4 MPI Style Plus,2021,17.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,6.1 lt,Tamamı orjinal,Tramer tutarı yok,176 km/s,877.000 TL
25 Ekim 2023,Seat,Ibiza,1.0 Style,2020,17.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Kırmızı,999 cc,80 hp,4.9 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,169 km/s,735.000 TL
24 Ekim 2023,Fiat,Egea,1.4 Fire Urban,2023,17.000 km,Düz,Benzin,Sedan,Mavi (metalik),1368 cc,95 hp,6.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,186 km/s,720.000 TL
23 Ekim 2023,Seat,Leon,1.4 EcoTSI FR,2017,17.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1395 cc,150 hp,4.9 lt,Tamamı orjinal,Tramer tutarı yok,215 km/s,1.250.000 TL
22 Ekim 2023,Toyota,Corolla,1.5 Flame X-Pack,2022,17.000 km,Otomatik,Benzin,Sedan. 5 Koltuk,Mavi (metalik),1490 cc,125 hp,5.8 lt,1 değişen. 1 boyalı,Tramer tutarı yok,190 km/s,1.300.000 TL
20 Ekim 2023,Hyundai,i20,1.4 MPI Style,2020,17.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,170 km/s,895.000 TL
20 Ekim 2023,Mercedes - Benz,CLA,200 AMG+ 4Matic,2022,17.000 km,Yarı Otomatik,Benzin,Coupe,Beyaz,1332 cc,163 hp,6.2 lt,Tamamı orjinal,Tramer tutarı yok,225 km/s,2.950.000 TL
19 Ekim 2023,Renault,Clio,1.0 TCe Joy,2022,17.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,790.000 TL
11 Ekim 2023,Volkswagen,Polo,1.0 TSi Life,2021,17.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,,,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,,1.027.000 TL
11 Ekim 2023,Honda,City,1.5 i-VTEC Executive,2021,17.000 km,Otomatik,Benzin,Sedan,Beyaz,1498 cc,121 hp,6.2 lt,Tamamı orjinal,Tramer tutarı yok,198 km/s,895.000 TL
10 Ekim 2023,Fiat,Egea,1.3 Multijet Urban Plus,2020,17.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,4.1 lt,Tamamı orjinal,Tramer tutarı yok,183 km/s,800.000 TL
10 Ekim 2023,Fiat,Egea,1.4 Fire Easy Plus,2022,17.000 km,Düz,Benzin,Sedan,Gri,1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,186 km/s,710.000 TL
07 Ekim 2023,Seat,Leon,1.5 EcoTSI FR,2021,17.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1498 cc,150 hp,5.1 lt,Tamamı orjinal,Tramer tutarı yok,213 km/s,1.385.000 TL
18 Ekim 2023,Renault,Symbol,1.5 dCi Joy,2016,17.100 km,Düz,Dizel,Sedan. 5 Koltuk,Gri,1461 cc,90 hp,3.9 lt,Tamamı orjinal,Tramer tutarı yok,167 km/s,649.000 TL
09 Kasım 2023,Toyota,Corolla,1.6 Flame X Pack,2020,17.200 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,132 hp,5.5 lt,Tamamı orjinal,Tramer tutarı yok,190 km/s,1.235.000 TL
03 Kasım 2023,Fiat,Egea,1.4 Fire Easy Plus,2022,17.200 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1368 cc,95 hp,6.4 lt,Tamamı orjinal,Tramer tutarı yok,186 km/s,701.350 TL
14 Kasım 2023,Peugeot,208,1.2 PureTech Active,2015,17.270 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1199 cc,83 hp,4.5 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,178 km/s,755.000 TL
25 Kasım 2023,Toyota,Corolla,1.5 Flame X-Pack,2021,17.288 km,Otomatik,Benzin,Sedan. 5 Koltuk,Gri (Gümüş),1490 cc,125 hp,5.8 lt,Belirtilmemiş,Tramer tutarı yok,190 km/s,1.100.000 TL
18 Kasım 2023,Renault,Clio,1.0 SCe Joy,2020,17.300 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Gri (Gümüş),999 cc,72 hp,4.9 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,162 km/s,638.000 TL
20 Ekim 2023,Opel,Corsa,1.2 Turbo Ultimate,2022,17.300 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Gri (titanyum),1199 cc,130 hp,4.5 lt,Tamamı orjinal,Tramer tutarı yok,208 km/s,1.150.000 TL
25 Ekim 2023,Mitsubishi,Colt,1.6 GLX,1993,17.470 km,Düz,Benzin,Hatchback/3,-,1597 cc,113 hp,,Tamamı boyalı,Tramer tutarı yok,190 km/s,220.000 TL
11 Kasım 2023,Renault,Megane,1.3 TCe Joy,2021,17.500 km,Düz,Benzin,Sedan,Beyaz,1332 cc,140 hp,5.7 lt,Belirtilmemiş,Tramer tutarı yok,205 km/s,985.000 TL
29 Ekim 2023,Renault,Clio,1.0 TCe Touch,2020,17.500 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Kırmızı,999 cc,100 hp,4.3 lt,Tamamı orjinal,Tramer tutarı yok,187 km/s,725.000 TL
24 Ekim 2023,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,17.500 km,Yarı Otomatik,LPG & Benzin,Sedan,Mavi (metalik),1597 cc,125 hp,6.3 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,1.150.000 TL
23 Ekim 2023,Citroen,C3,1.2 PureTech Feel Bold,2021,17.500 km,Otomatik,Benzin,Hatchback/5,Beyaz,1199 cc,112 hp,4.8 lt,Tamamı orjinal,Tramer tutarı yok,193 km/s,835.000 TL
23 Ekim 2023,Renault,Clio,0.9 TCe Joy,2020,17.500 km,Düz,Benzin,Hatchback/5,Beyaz,898 cc,90 hp,5 lt,1 değişen,Tramer  10.000 TL,178 km/s,665.000 TL
20 Ekim 2023,Opel,Astra,1.4 T Enjoy Active,2014,17.500 km,Otomatik,Benzin,Hatchback/5,Lacivert,1364 cc,140 hp,6.8 lt,Tamamı orjinal,Tramer tutarı yok,200 km/s,850.000 TL
01 Kasım 2023,Hyundai,i20,1.0 T-GDI Style,2021,17.600 km,Yarı Otomatik,Benzin,Hatchback/5. 5 Koltuk,Beyaz,998 cc,100 hp,5.2 lt,Tamamı orjinal,Tramer tutarı yok,185 km/s,920.000 TL
19 Ekim 2023,Seat,Ibiza,1.0 Style,2021,17.600 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Beyaz,999 cc,80 hp,4.9 lt,Tamamı orjinal,Tramer tutarı yok,169 km/s,750.000 TL
19 Ekim 2023,Fiat,Egea,1.6 Multijet Easy,2022,17.600 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,130 hp,4.4 lt,Tamamı orjinal,Tramer tutarı yok,209 km/s,885.000 TL
11 Ekim 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,17.600 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,185 km/s,725.000 TL
13 Ekim 2023,Renault,Clio,1.0 TCe Touch,2021,17.650 km,Otomatik,Benzin,Hatchback/5,Kırmızı,999 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,819.500 TL
11 Kasım 2023,Fiat,Egea,1.4 Fire Urban Plus,2020,17.700 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,185 km/s,735.000 TL
04 Kasım 2023,Suzuki,Swift,1.2 GLX,2019,17.700 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1242 cc,90 hp,4.9 lt,Tamamı orjinal,Tramer tutarı yok,175 km/s,820.000 TL
24 Ekim 2023,Renault,Clio,1.2 Joy,2017,17.700 km,Düz,Benzin,Hatchback/5,Kırmızı,1149 cc,75 hp,5.5 lt,Tamamı orjinal,Tramer tutarı yok,167 km/s,600.000 TL
17 Ekim 2023,Seat,Ibiza,1.0 Style,2021,17.700 km,Düz,Benzin,Hatchback/5,Kırmızı,999 cc,80 hp,4.9 lt,Tamamı orjinal,Tramer tutarı yok,169 km/s,795.000 TL
13 Ekim 2023,Kia,Picanto,1.0 MPI,2021,17.750 km,Otomatik,Benzin,Hatchback/5,Gri,998 cc,67 hp,5.3 lt,1 boyalı,Tramer tutarı yok,148 km/s,735.000 TL
12 Kasım 2023,Fiat,Egea,1.4 Fire Urban,2022,17.800 km,Düz,Benzin,Hatchback/5,Gri (metalik),1368 cc,95 hp,6.6 lt,Tamamı orjinal,Tramer tutarı yok,182 km/s,690.000 TL
05 Kasım 2023,Fiat,Egea,1.4 Fire Easy,2019,17.800 km,Düz,Benzin,Sedan. 5 Koltuk,Kırmızı,1368 cc,95 hp,5.7 lt,Tamamı orjinal,Tramer tutarı yok,185 km/s,645.000 TL
